Department,GivenName,Manager,Name,OfficePhone,SamAccountName,sn,Title
Executive,Dan,,Dan Jump,(425) 555-0179,danj,Jump,CEO
Operations,Adam,CN=Dan Jump,Adam Barr,(206) 555-5472,adamb,Barr,General Manager of Professional Services
Project Management,Alan,CN=Adam Barr,Alan Steiner,(206) 555-2443,alans,Steiner,Director of Project Management Team
Project Management,Chris,CN=Alan Steiner,Chris Norred,(206) 555-1931,chrisn,Norred,Project Manager
Operations,Diane,CN=Adam Barr,Diane Tibbot,(206) 555-9327,dianet,Tibbot,CFO of Professional Services
Engineering,Christine,CN=Adam Barr,Christine Koch,(206) 555-2987,christk,Koch,Managing Director
Executive,Frank,CN=Dan Jump,Frank Martinez,(425) 555-0121,frankm1,Martinez,COO
Accounting,Karim,CN=Diane Tibbot,Karim Manar,(206) 555-4156,karimm,Manar,Controller
Sales,Dan,CN=Adam Barr,Dan Park,(713) 555-6563,danp,Park,Vice President NA Sales
Executive,Jeff,CN=Frank Martinez,Jeff Hay,(425) 555-0187,jeffh,Hay,CVP of Operations
Human Resources,Garth,CN=Karim Manar,Garth Fort,(206) 555-8258,garthf,Fort,HR Manager
Strategy Consulting,Cesar,CN=Christine Koch,Cesar Garcia,(212) 555-4178,cesarg,Garcia,Strategy Consulting Manager
Executive,Christa,CN=Jeff Hay,Christa Geller,(425) 555-0177,christg,Geller,CVP of Online
Sales Engagement Management,Jack,CN=Dan Park,Jack Creasey,(206) 555-4676,jackc,Creasey,Managing Director
Strategy Consulting,David,CN=Christine Koch,David Maman,(212) 555-2867,davidm,Maman,Strategy Consulting Manager
Sales,Alan,CN=Jack Creasey,Alan Brewer,(804) 555-2217,alanb,Brewer,Regional Sales Manager
Sales Engagement Management,David,CN=Alan Brewer,David Simpson,(206) 555-1123,davids,Simpson,Sales Manager
Senior Management,Anna,CN=Christa Geller,Anna Lidman,(425) 555-0172,annal,Lidman,SVP of Online Services
Sales,Eduard,CN=Jack Creasey,Eduard Dell,(360) 555-4638,eduardd,Dell,Regional Sales Manager
Sales,Spencer,CN=Jack Creasey,Spencer Low,(253) 555-7934,spencel,Low,Regional Sales Manager
Operations,Kelly,CN=Adam Barr,Kelly Weadock,(206) 555-8936,kellyw,Weadock,CTO of Professional Services
Senior Management,Molly,CN=Anna Lidman,Molly Clark,(425) 555-0192,mollyc,Clark,GM of Online Ad Sales and Affiliate Marketing
Sales,Larry,CN=Jack Creasey,Larry Zhang,(914) 555-7414,larryz,Zhang,Regional Sales Manager
Operations,Arturo,CN=Kelly Weadock,Arturo Lopez,(206) 555-3186,arturol,Lopez,IT Director
Sales,April,CN=Eduard Dell,April Stewart,(312) 555-5454,aprils,Stewart,Sales Manager
Strategy Consulting,Aaron,CN=Christine Koch,Aaron Painter,(212) 555-8335,aaronp,Painter,Strategy Consulting Manager
Project Management,Andrew,CN=Alan Steiner,Andrew Ma,(206) 555-6345,andrewm,Ma,Senior Project Manager
Marketing,Diane,CN=Molly Clark,Diane Prescott,(425) 555-0164,dianep,Prescott,Director of Ad Sales
Sales Engagement Management,Arthur,CN=Spencer Low,Arthur Yasinski,(214) 555-3187,arthury,Yasinski,Sales Manager
Strategy Consulting,Brad,CN=Christine Koch,Brad Sutton,(212) 555-9758,brads,Sutton,Strategy Consulting Manager
Human Resources,Amy,CN=Garth Fort,Amy Alberts,(206) 555-1346,amya,Alberts,HR Manager
Sales,Steve,CN=Jack Creasey,Steve Luper,(619) 555-7772,stevel,Luper,Regional Sales Manager
Senior Management,Julian,CN=Molly Clark,Julian Isla,(425) 555-0184,juliani,Isla,Sr. Business Development Manager
Project Management,Scott,CN=Alan Steiner,Scott Bishop,(206) 555-9977,scottb,Bishop,Senior Project Manager
Marketing,Kelly,CN=Adam Barr,Kelly Krout,(206) 555-6511,kellyk,Krout,Marketing Manager
Content Management Consulting,Stan,CN=Alan Steiner,Stan Orme,(206) 555-6169,stano,Orme,Content Management Consulting Manager
Project Management,Mike,CN=Alan Steiner,Mike Nash,(206) 555-8148,miken,Nash,Senior Project Manager
Strategy Consulting,Jenni,CN=David Maman,Jenni Merrifield,(206) 555-3965,jennim,Merrifield,Strategy Consultant
Operations,Keith,CN=Adam Barr,Keith Dishmo,(206) 555-7436,keithd,Dishmo,Procurement Manager
Sales,Jose,CN=Larry Zhang,Jose Saraiva,(206) 555-9337,joses,Saraiva,Sales Manager
Sales Engagement Management,Lene,CN=Steve Luper,Lene Aalling,(701) 555-3621,lenea,Aalling,Sales Manager
Project Management,Barry,CN=Alan Steiner,Barry Johnson,(206) 555-8673,barryj,Johnson,Project Manager
Strategy Consulting,Ellen,CN=Christine Koch,Ellen Adams,(212) 555-1397,ellena,Adams,Strategy Consulting Manager
Operations,Ben,CN=Adam Barr,Ben Spain,(206) 555-8216,bens,Spain,Manager
Engineering Operations,David,CN=Adam Barr,David Zazzo,(206) 555-4122,davidz,Zazzo,Managing Director
Engineering Operations,Carol,CN=David Zazzo,Carol Troup,(206) 555-7223,carolt,Troup,Strategy Consulting Manager
Operations,Erika,CN=Ben Spain,Erika Cheley,(206) 555-1242,erikac,Cheley,Manager
Project Management,Brian,CN=Barry Johnson,Brian Groth,(206) 555-9642,briang,Groth,Project Manager
CRM Strategy,Syed,CN=Aaron Painter,Syed Abbas,(20) 5555-4595,syeda,Abbas,CRM Consulting Manager
Content Management Consulting,Peder,CN=Stan Orme,Peder Thode,(20) 5555-7862,pedert,Thode,Content Management Consultant
Content Management Consulting,Mary,CN=Stan Orme,Mary Cha,(20) 5555-4594,maryc,Cha,Content Management Consultant
Content Management Consulting,Lisa,CN=Stan Orme,Lisa Andrews,(20) 5555-7545,lisaa,Andrews,Content Management Consultant
Content Management Consulting,Jim,CN=Stan Orme,Jim Lucey,(20) 5555-1626,jiml,Lucey,Content Management Consultant
Content Management Consulting,Gareth,CN=Stan Orme,Gareth Chan,(20) 5555-5894,garethc,Chan,Content Management Consultant
CRM Strategy,Karin,CN=Syed Abbas,Karin Lamb,(20) 5555-9834,karinl,Lamb,CRM Consultant
Content Management Consulting,David,CN=Stan Orme,David Hamilton,(20) 5555-7963,davidh,Hamilton,CRM Consultant
CRM Strategy,Merav,CN=Syed Abbas,Merav Sror,(20) 5555-2697,meravs,Sror,CRM Consultant
Content Management Consulting,Reina,CN=Stan Orme,Reina Cabatana,(20) 5555-3658,reinac,Cabatana,Content Management Consultant
Content Management Consulting,Robin,CN=Stan Orme,Robin Young,(212) 555-4428,robiny,Young,Content Management Consultant
Content Management Consulting,Peter,CN=Stan Orme,Peter Saddow,(212) 555-9437,peters,Saddow,Content Management Consultant
